timestamp_ms,qw,qx,qy,qz,gx,gy,gz
196823,0.456909,0.269653,0.727478,-0.435059,-0.035156,-0.019531,0.001953
196833,0.457031,0.269470,0.727600,-0.434875,-0.074219,-0.007813,-0.003906
196843,0.457153,0.269226,0.727722,-0.434631,-0.080078,-0.019531,-0.001953
196853,0.457336,0.269043,0.727844,-0.434448,-0.066406,-0.015625,-0.011719
196864,0.457458,0.268799,0.727905,-0.434265,-0.046875,-0.005859,-0.007813
196875,0.457520,0.268677,0.728027,-0.434204,-0.027344,-0.005859,-0.009766
196885,0.457520,0.268616,0.728027,-0.434143,-0.003906,0.001953,-0.007813
196895,0.457458,0.268616,0.728027,-0.434204,0.015625,0.011719,-0.007813
196905,0.457397,0.268616,0.728027,-0.434326,0.027344,0.011719,-0.019531
196915,0.457275,0.268677,0.727966,-0.434448,0.027344,0.009766,-0.011719
196932,0.457275,0.268677,0.727905,-0.434570,-0.007813,-0.005859,-0.005859
196953,0.457336,0.268555,0.728027,-0.434448,-0.029297,0.003906,0.001953
196964,0.457397,0.268433,0.728027,-0.434387,-0.019531,-0.013672,-0.011719
196974,0.457397,0.268372,0.728088,-0.434387,-0.001953,0.001953,-0.011719
196985,0.457336,0.268372,0.728088,-0.434448,0.021484,0.011719,-0.005859
197000,0.457275,0.268372,0.727966,-0.434692,0.029297,-0.001953,-0.011719
197015,0.457275,0.268311,0.727966,-0.434753,-0.003906,-0.009766,-0.007813
197025,0.457275,0.268311,0.727905,-0.434814,0.001953,-0.005859,-0.003906
197040,0.457275,0.268250,0.727783,-0.434998,0.019531,-0.013672,-0.011719
197054,0.457275,0.268311,0.727661,-0.435181,0.037109,-0.023437,0.000000
197065,0.457336,0.268372,0.727539,-0.435364,0.031250,-0.029297,0.003906
197075,0.457397,0.268372,0.727417,-0.435425,0.011719,-0.019531,0.001953
197085,0.457520,0.268372,0.727356,-0.435547,0.007813,-0.021484,0.005859
197100,0.457703,0.268372,0.727112,-0.435608,0.009766,-0.029297,0.011719
197114,0.457703,0.268372,0.727051,-0.435730,0.027344,-0.005859,-0.001953
197125,0.457703,0.268433,0.726990,-0.435852,0.041016,0.000000,-0.001953
197135,0.457642,0.268555,0.726868,-0.436035,0.042969,-0.005859,0.003906
197153,0.457642,0.268738,0.726685,-0.436218,0.009766,-0.009766,0.013672
197163,0.457764,0.268738,0.726624,-0.436218,-0.023437,-0.025391,0.009766
197173,0.457886,0.268677,0.726624,-0.436096,-0.052734,-0.021484,0.003906
197184,0.458008,0.268494,0.726685,-0.435913,-0.054687,-0.013672,-0.001953
197195,0.458130,0.268372,0.726746,-0.435852,-0.025391,-0.011719,-0.003906
197213,0.458252,0.268250,0.726685,-0.435852,0.003906,-0.021484,0.005859
197224,0.458313,0.268311,0.726562,-0.435913,0.011719,-0.005859,0.007813
197235,0.458313,0.268372,0.726562,-0.435974,0.011719,0.001953,0.007813
197245,0.458313,0.268372,0.726501,-0.436035,0.003906,-0.013672,0.001953
197260,0.458435,0.268311,0.726440,-0.436096,0.000000,-0.019531,-0.003906
197274,0.458374,0.268250,0.726379,-0.436218,0.019531,-0.001953,-0.009766
197284,0.458374,0.268250,0.726318,-0.436340,0.027344,-0.013672,-0.007813
197295,0.458374,0.268311,0.726196,-0.436462,0.023437,-0.019531,-0.001953
197305,0.458435,0.268311,0.726135,-0.436523,0.009766,-0.005859,0.007813
197320,0.458496,0.268250,0.726074,-0.436584,-0.003906,-0.011719,0.003906
197334,0.458557,0.268250,0.726074,-0.436584,-0.011719,-0.007813,0.000000
197345,0.458618,0.268188,0.726074,-0.436584,0.000000,-0.009766,0.000000
197355,0.458679,0.268188,0.725891,-0.436707,0.046875,-0.048828,-0.003906
197373,0.459290,0.268066,0.725037,-0.437622,0.097656,-0.183594,0.007813
197383,0.459900,0.267822,0.724426,-0.438171,0.058594,-0.187500,-0.011719
197393,0.460327,0.267578,0.723877,-0.438782,0.125000,-0.156250,-0.037109
197404,0.460632,0.267639,0.723022,-0.439819,0.300781,-0.187500,-0.001953
197415,0.460999,0.268250,0.721619,-0.441406,0.466797,-0.238281,0.095703
197425,0.461548,0.269409,0.719666,-0.443237,0.544922,-0.253906,0.210937
197440,0.461975,0.273438,0.716003,-0.446228,0.535156,-0.140625,0.279297
197455,0.460937,0.277039,0.714478,-0.447571,0.818359,0.373047,0.402344
197465,0.458862,0.281860,0.712646,-0.449646,1.238281,0.527344,0.439453
197485,0.451660,0.294861,0.706848,-0.457642,2.050781,0.691406,0.308594
197503,0.439270,0.310608,0.698242,-0.472351,2.927734,0.859375,-0.019531
197513,0.431030,0.319275,0.692871,-0.481812,3.119141,0.914062,-0.097656
197523,0.422485,0.327637,0.687439,-0.491455,3.207031,0.906250,-0.216797
197533,0.413208,0.335510,0.681885,-0.501709,3.310547,0.941406,-0.441406
197544,0.402893,0.342834,0.676331,-0.512573,3.435547,0.974609,-0.701172
197557,0.391479,0.349487,0.670654,-0.524170,3.455078,0.976562,-0.912109
197573,0.366638,0.359985,0.660034,-0.548035,3.416016,0.958984,-1.150391
197583,0.352173,0.363770,0.654602,-0.561401,3.582031,0.906250,-1.751953
197593,0.338013,0.366272,0.649414,-0.574341,3.710938,0.830078,-2.033203
197604,0.322205,0.367676,0.643799,-0.588684,3.746094,0.722656,-2.300781
197614,0.305725,0.367859,0.638062,-0.603394,3.748047,0.667969,-2.550781
197625,0.288757,0.366882,0.632507,-0.618042,3.738281,0.578125,-2.810547
197645,0.252563,0.360352,0.622009,-0.647644,3.500000,0.433594,-3.433594
197660,0.212585,0.347473,0.613892,-0.676208,3.345703,0.427734,-3.826172
197674,0.190063,0.338318,0.609558,-0.691223,3.476563,0.220703,-4.423828
197685,0.168640,0.328735,0.605225,-0.705078,3.427734,0.121094,-4.546875
197705,0.124207,0.305481,0.597351,-0.731018,2.812500,-0.046875,-4.871094
197715,0.102234,0.292175,0.594910,-0.741760,2.480469,-0.091797,-5.041016
197725,0.079041,0.277161,0.593079,-0.751831,2.318359,-0.121094,-5.166016
197740,0.033936,0.247009,0.588684,-0.768921,2.316406,-0.115234,-5.261719
197752,0.010132,0.230286,0.584900,-0.777710,2.693359,-0.341797,-5.408203
197770,0.035034,-0.195312,-0.575928,0.793091,2.605469,-0.503906,-5.419922
197785,0.058105,-0.176453,-0.570740,0.799805,2.478516,-0.580078,-5.326172
197805,0.100403,-0.140076,-0.559631,0.810608,2.570313,-0.767578,-5.255859
197815,0.120972,-0.121094,-0.553284,0.815247,2.482422,-0.853516,-5.197266
197825,0.140991,-0.101807,-0.546936,0.818909,2.314453,-0.935547,-5.140625
197843,0.181030,-0.061646,-0.534668,0.823120,2.152344,-1.023438,-5.394531
197865,0.221008,-0.020996,-0.520996,0.824219,2.197266,-0.943359,-5.244141
197882,0.258789,0.018372,-0.503540,0.824097,2.482422,-0.912109,-4.937500
197894,0.277405,0.038879,-0.493652,0.823303,2.314453,-1.033203,-4.830078
197905,0.293274,0.057007,-0.485474,0.821594,2.097656,-1.083984,-4.912109
197925,0.328186,0.095886,-0.467529,0.815186,2.292969,-0.978516,-5.072266
197943,0.359314,0.132690,-0.444458,0.809814,2.718750,-0.697266,-4.128906
197953,0.373047,0.149963,-0.431641,0.807495,2.658203,-0.744141,-4.167969
197963,0.385620,0.166504,-0.419678,0.804626,2.500000,-0.873047,-3.931641
197985,0.406799,0.197327,-0.398499,0.797974,2.066406,-0.968750,-3.259766
197995,0.414795,0.211304,-0.389954,0.794495,1.826172,-1.146484,-2.785156
198005,0.421692,0.224976,-0.382813,0.790588,1.355469,-1.156250,-2.453125
198024,0.433716,0.245605,-0.372986,0.782593,0.960937,-0.720703,-2.132813
198035,0.439026,0.253296,-0.368347,0.779358,0.916016,-0.445312,-1.792969
198045,0.443359,0.259277,-0.363953,0.777039,0.759766,-0.279297,-1.279297
198063,0.447815,0.265808,-0.358765,0.774658,0.173828,-0.130859,-0.369141
198073,0.448364,0.266602,-0.358032,0.774414,0.119141,0.062500,0.009766
198083,0.447571,0.265808,-0.357544,0.775330,0.146484,0.248047,0.498047
198094,0.445190,0.263428,-0.357666,0.777466,-0.021484,0.332031,1.017578
198104,0.441345,0.259277,-0.358765,0.780518,-0.183594,0.519531,1.468750
198115,0.436523,0.253296,-0.360779,0.784302,-0.414062,0.671875,1.861328
198132,0.423096,0.235657,-0.368225,0.793640,-0.878906,0.945312,2.746094
198145,0.413635,0.223083,-0.373962,0.799561,-1.138672,1.089844,3.312500
198163,0.389038,0.192810,-0.389771,0.812134,-1.929688,1.212891,4.955078
198184,0.350830,0.149536,-0.415588,0.825745,-3.214844,1.257813,6.750000
198194,0.326172,0.123596,-0.433960,0.830688,-4.261719,0.933594,7.703125
198205,0.296204,0.094727,-0.458313,0.832642,-5.726562,0.332031,8.716797
198215,0.260559,0.063965,-0.489441,0.829712,-7.470703,-0.472656,9.667969
198225,0.216370,0.030212,-0.529541,0.819641,-9.201172,-1.318359,10.398438
198245,0.118103,-0.028809,-0.614197,0.779724,-11.191406,-3.582031,11.349609
