timestamp_ms	qw	qx	qy	qz	gx	gy	gz
2373	1	0	0	0	0	0	0
2395	1	0	0	0	0	0	0
2417	1	0	0	0	0	0	0
2439	1	0	0	0	0	0	0
2462	1	0	0	0	0	0	0
2491	0.641602	-0.009705	0.765991	0.038757	0	0	0
2537	0.641418	-0.009338	0.766174	0.038452	0	0	0
2573	0.641235	-0.009766	0.766296	0.038635	-0.025391	0.005859	-0.007813
2608	0.641113	-0.009827	0.766418	0.038391	0.021484	0.007813	-0.019531
2646	0.64093	-0.010132	0.766602	0.038452	-0.011719	0.009766	-0.015625
2685	0.64093	-0.009644	0.766541	0.03833	0.027344	-0.013672	0.009766
2716	0.64093	-0.009521	0.766541	0.038452	0.011719	-0.009766	0.007813
2748	0.640808	-0.009888	0.766663	0.038879	-0.039063	0.005859	-0.009766
2786	0.640625	-0.009766	0.766785	0.038879	0.017578	0.003906	-0.009766
2818	0.640442	-0.009705	0.766968	0.038879	0	0.005859	-0.011719
2857	0.640137	-0.009705	0.767212	0.039001	0.005859	0.011719	-0.011719
2897	0.639832	-0.009583	0.767456	0.039124	-0.001953	0.011719	-0.011719
2933	0.639709	-0.009583	0.767517	0.039673	-0.023437	-0.003906	0.001953
2973	0.639648	-0.009094	0.767578	0.039673	0.025391	-0.001953	0.003906
3016	0.639587	-0.009155	0.767578	0.0401	-0.019531	-0.003906	0.001953
3053	0.639587	-0.008728	0.767639	0.040039	0.003906	-0.005859	0
3093	0.639343	-0.008789	0.767822	0.040405	-0.009766	0.005859	-0.003906
3136	0.639282	-0.008606	0.767822	0.040527	0.005859	-0.007813	0.003906
3168	0.639221	-0.008545	0.767883	0.040894	-0.009766	0	0.005859
3205	0.639038	-0.008301	0.768066	0.041016	-0.003906	0.007813	0.003906
3237	0.638916	-0.008179	0.768127	0.041199	0.003906	0.003906	0.003906
3275	0.638672	-0.007874	0.768311	0.041443	-0.009766	0.003906	0.009766
3307	0.63855	-0.007629	0.768433	0.041504	0.013672	0.011719	0.005859
3346	0.638367	-0.007263	0.768555	0.041748	-0.007813	0.001953	0.009766
3377	0.638184	-0.006897	0.768677	0.041748	0.017578	0.009766	0.011719
3414	0.637939	-0.006714	0.76886	0.042053	-0.003906	0.015625	0
3456	0.637878	-0.006348	0.768982	0.042053	0.021484	0.003906	0.003906
3488	0.637817	-0.006042	0.768982	0.042053	0.019531	-0.001953	0.007813
3527	0.637878	-0.005981	0.768982	0.042236	-0.017578	-0.003906	0.007813
3563	0.637878	-0.005981	0.768982	0.042358	0	-0.003906	0.001953
3603	0.637756	-0.005859	0.769043	0.042542	-0.019531	0.005859	-0.003906
3643	0.637695	-0.005737	0.769104	0.042664	0.009766	-0.001953	0.007813
3678	0.637573	-0.005737	0.769165	0.042908	-0.015625	0.007813	0
3717	0.63739	-0.005554	0.769287	0.042908	0.019531	0.005859	0.003906
3753	0.637268	-0.005493	0.769409	0.04303	0.003906	0.003906	0.001953
3795	0.637085	-0.005554	0.769592	0.043213	-0.003906	0.003906	0.007813
3833	0.636963	-0.005371	0.769653	0.043396	0	0	0.009766
3868	0.636902	-0.00531	0.769714	0.043396	0	0.007813	-0.009766
3906	0.637024	-0.005188	0.769592	0.043396	0.011719	-0.009766	0.003906
3945	0.637146	-0.005066	0.76947	0.043396	0.03125	-0.015625	-0.001953
3984	0.63739	-0.005127	0.769287	0.043274	0.009766	-0.019531	-0.007813
4018	0.63739	-0.005127	0.769287	0.043213	-0.003906	0	-0.005859
4057	0.637329	-0.005188	0.769348	0.043335	0	0.003906	-0.001953
4097	0.637085	-0.005432	0.769531	0.043579	-0.03125	0.013672	-0.003906
4133	0.636841	-0.005493	0.769775	0.043884	-0.015625	0.013672	-0.001953
4168	0.636536	-0.005493	0.769958	0.044006	-0.007813	0.017578	0.007813
4206	0.63623	-0.00592	0.770203	0.044495	-0.023437	0.015625	-0.007813
4245	0.635925	-0.006104	0.770447	0.0448	0.003906	0.009766	0
