timestamp_ms,qw,qx,qy,qz,gx,gy,gz
582611,0.624817,0.185303,0.730835,-0.202881,0.033203,-0.011719,0.007813
582621,0.624878,0.185242,0.730774,-0.202881,-0.023437,-0.013672,-0.005859
582631,0.624939,0.185120,0.730774,-0.202820,-0.017578,-0.005859,-0.005859
582641,0.624939,0.185059,0.730774,-0.202820,0.009766,-0.003906,-0.001953
582652,0.624939,0.185120,0.730774,-0.202942,0.031250,-0.003906,-0.003906
582672,0.624817,0.185364,0.730713,-0.203247,0.046875,0.001953,0.001953
582683,0.624817,0.185486,0.730652,-0.203369,0.027344,-0.003906,0.003906
582694,0.624817,0.185547,0.730591,-0.203491,0.025391,-0.003906,0.005859
582711,0.624817,0.185669,0.730530,-0.203491,0.000000,-0.013672,0.007813
582721,0.624878,0.185730,0.730469,-0.203552,0.039063,-0.015625,0.015625
582732,0.624878,0.185913,0.730408,-0.203735,0.089844,-0.013672,0.023437
582752,0.624817,0.186768,0.730042,-0.204285,0.101563,-0.011719,0.041016
582773,0.624878,0.187439,0.729797,-0.204590,0.037109,-0.015625,0.035156
582783,0.624939,0.187561,0.729675,-0.204529,0.011719,-0.009766,0.029297
582793,0.625000,0.187744,0.729614,-0.204529,0.019531,-0.013672,0.031250
582803,0.625061,0.187866,0.729492,-0.204529,0.019531,-0.015625,0.029297
582813,0.625122,0.187988,0.729431,-0.204468,0.003906,-0.009766,0.009766
582831,0.625122,0.187805,0.729492,-0.204529,-0.009766,0.003906,-0.027344
582851,0.624939,0.187500,0.729675,-0.204529,-0.017578,0.015625,-0.031250
582861,0.624878,0.187317,0.729797,-0.204529,-0.023437,0.021484,-0.031250
582871,0.624817,0.187073,0.729919,-0.204468,-0.052734,0.019531,-0.029297
582881,0.624756,0.186829,0.730103,-0.204285,-0.066406,0.017578,-0.027344
582891,0.624756,0.186584,0.730225,-0.204163,-0.041016,0.011719,-0.021484
582901,0.624695,0.186401,0.730286,-0.204102,-0.023437,0.009766,-0.013672
582911,0.624695,0.186340,0.730347,-0.204041,-0.005859,0.005859,-0.001953
582921,0.624634,0.186340,0.730408,-0.204041,0.021484,0.001953,0.007813
582931,0.624573,0.186462,0.730347,-0.204102,0.048828,0.005859,0.005859
582941,0.624512,0.186646,0.730347,-0.204224,0.033203,0.005859,-0.001953
582951,0.624512,0.186646,0.730408,-0.204285,-0.015625,0.011719,-0.011719
