sample,timestamp_w,timestamp_b,qw_w,qx_w,qy_w,qz_w,qw_b,qx_b,qy_b,qz_b,gx_w,gy_w,gz_w,gx_b,gy_b,gz_b,angle_w,angle_b,angle_w_s,angle_b_s,angle_diff,gyro_w,gyro_b,gyro_w_s,gyro_b_s,gyro_w_norm,gyro_b_norm,angle_w_norm,angle_b_norm
0,582831,196823,0.625122,0.187805,0.729492,-0.204529,0.456909,0.269653,0.727478,-0.435059,-0.009766,0.003906,-0.027344,-0.035156,-0.019531,0.001953,0.17990520464848503,0.14288830431634908,0.14211789106505116,0.10733511555733255,0.034782775507718605,0.029297200002730638,0.04026435776216976,0.04409937303042681,0.06666571695085201,0.0011824597955108437,0.0023057765862873926,0.0006677529846081941,0.0004785196818660309
1,582851,196833,0.624939,0.1875,0.729675,-0.204529,0.457031,0.26947,0.7276,-0.434875,-0.017578,0.015625,-0.03125,-0.074219,-0.007813,-0.003906,0.1357265024563269,0.10921570605878728,0.12636224582880498,0.0918842074269101,0.03447803840189488,0.03911124146584968,0.07473125026386217,0.05006657015068403,0.0629088702874962,0.0014226681277145887,0.0021231313677617866,0.0005799296808834964,0.0003910643847858433
2,582861,196843,0.624878,0.187317,0.729797,-0.204529,0.457153,0.269226,0.727722,-0.434631,-0.023437,0.021484,-0.03125,-0.080078,-0.019531,-0.001953,0.11072196609034152,0.06990133629686131,0.10914311431530972,0.08171859577094305,0.02742451854436667,0.04458046349018817,0.0824485309390046,0.049682476571977774,0.05736087314699758,0.0014072065171641362,0.0018534064519195568,0.00048394878044368027,0.0003335249456881552
3,582871,196853,0.624817,0.187073,0.729919,-0.204468,0.457336,0.269043,0.727844,-0.434448,-0.052734,0.019531,-0.029297,-0.066406,-0.015625,-0.011719,0.07909531012006651,0.04553148303564275,0.07804821018297373,0.06310129497901693,0.014946915203956801,0.06340858716293875,0.06921872883837149,0.04670459776568768,0.050445126014156516,0.0012873325986144189,0.0015171861428326541,0.000310623145792926,0.00022814721915936548
4,582881,196864,0.624756,0.186829,0.730103,-0.204285,0.457458,0.268799,0.727905,-0.434265,-0.066406,0.017578,-0.027344,-0.046875,-0.005859,-0.007813,0.04026658826132862,0.041056149147074825,0.0573668760413199,0.052490392768881754,0.004876483272438149,0.07393535863171288,0.047881483634073,0.04373541628483115,0.04769823561950778,0.0011678087891686788,0.001383641593013749,0.00019534363406744094,0.00016808734453950273
5,582891,196875,0.624756,0.186584,0.730225,-0.204163,0.45752,0.268677,0.728027,-0.434204,-0.041016,0.011719,-0.021484,-0.027344,-0.005859,-0.009766,0.02443068398680505,0.049801800356718495,0.04346876610984453,0.047963710395584225,-0.0044949442857396965,0.04776200867844651,0.029620887444504425,0.041425786383415646,0.04210630963555993,0.001074835097258363,0.0011117810049095604,0.00011787438978011493,0.00014246539737609287
6,582901,196885,0.624695,0.186401,0.730286,-0.204102,0.45752,0.268616,0.728027,-0.434143,-0.023437,0.009766,-0.013672,-0.003906,0.001953,-0.007813,0.03231983174805781,0.05616119500811138,0.03578736748983992,0.04544417357089257,-0.009656806081052648,0.028837324927947112,0.008950643217110154,0.04213229833437886,0.034801005861382024,0.0011032755952011515,0.0007566217653150407,7.505762195373646e-05,0.00012820430413497624
7,582911,196895,0.624695,0.18634,0.730347,-0.204041,0.457458,0.268616,0.728027,-0.434204,-0.005859,0.005859,-0.001953,0.015625,0.011719,-0.007813,0.041231416432964636,0.04726792443037365,0.03238228428880234,0.040350714987915474,-0.007968430699113134,0.008512929636734935,0.021036124999628616,0.03789857062973594,0.026539549608502754,0.0009328477292463517,0.00035497761588387187,5.60773992025521e-05,9.937428781620639e-05
8,582921,196905,0.624634,0.18634,0.730408,-0.204041,0.457397,0.268616,0.728027,-0.434326,0.021484,0.001953,0.007813,0.027344,0.011719,-0.019531,0.04068831702004348,0.03293379891218448,0.02918464917160793,0.03118253423128281,-0.001997885059674881,0.022943832155941167,0.03558776837622724,0.03059029269497816,0.023930864750399957,0.0006386544558198615,0.0002281521532904577,3.825350967677906e-05,4.7480511412382406e-05
9,582931,196915,0.624573,0.186462,0.730347,-0.204102,0.457275,0.268677,0.727966,-0.434448,0.048828,0.005859,0.005859,0.027344,0.009766,-0.011719,0.02324117225614075,0.01558885623218937,0.025499268817724074,0.02465091397279847,0.0008483548449256043,0.04952604714693068,0.03131140451975925,0.03006820362147698,0.0234943612440188,0.0006176378640967929,0.0002069308244862193,1.7710886806876903e-05,1.0510206152719877e-05
10,582941,196932,0.624512,0.186646,0.730347,-0.204224,0.457275,0.268677,0.727905,-0.43457,0.033203,0.005859,-0.001953,-0.007813,-0.005859,-0.005859,0.00844250840083295,0.003960896573555178,0.022321906574290368,0.022794054124176854,-0.0004721475498864862,0.033772493230438294,0.01138853506821663,0.03030694287709767,0.02393570848136176,0.0006272482653066891,0.00022838763915913234,0.0,0.0
11,582951,196953,0.624512,0.186646,0.730408,-0.204285,0.457336,0.268555,0.728027,-0.434448,-0.015625,0.011719,-0.011719,-0.029297,0.003906,0.001953,0.013892929978638554,0.023503093715689673,0.02428139725587597,0.02540068970560518,-0.0011192924497292096,0.022777413088408437,0.02962068962735338,0.03173783223392754,0.024525399806319792,0.0006848484315229807,0.00025705644322828933,1.092236736066595e-05,1.4754090001010757e-05
12,582961,196964,0.624451,0.186523,0.730469,-0.204224,0.457397,0.268433,0.728027,-0.434387,-0.037109,0.013672,-0.019531,-0.019531,-0.013672,-0.011719,0.025344605215796095,0.037983625187265564,0.03175689304574446,0.030735638576205936,0.0010212544695385219,0.04410738516393825,0.02656536289983632,0.029676274731183793,0.02395776014401687,0.0006018608446381609,0.00022945971665001876,5.25914153369415e-05,4.4950990691096204e-05
13,582971,196974,0.62439,0.18634,0.730591,-0.204163,0.457397,0.268372,0.728088,-0.434387,-0.023437,0.011719,-0.015625,-0.001953,0.001953,-0.011719,0.05048577042797149,0.04596697681932611,0.044045648344726976,0.03751266050422187,0.006532987840505107,0.0305084997172919,0.01204007387851088,0.025972436840734664,0.021356482916706963,0.0004527635876701405,0.00010299438809085238,0.00012108998031720768,8.331031954288027e-05
14,582981,196985,0.62439,0.186279,0.730652,-0.204102,0.457336,0.268372,0.728088,-0.434448,-0.015625,0.009766,-0.001953,0.021484,0.011719,-0.005859,0.06061865120548318,0.04226360058519314,0.056060265130469945,0.04220484604308977,0.013855419087380173,0.018529155134544048,0.025163964274334837,0.024677077522157042,0.02077347174644309,0.00040061915616413095,7.465035062071584e-05,0.00018806047395860623,0.00010986904844044397
15,582992,197000,0.624329,0.186218,0.730652,-0.204041,0.457275,0.268372,0.727966,-0.434692,-0.005859,0.005859,0.001953,0.029297,-0.001953,-0.011719,0.06988628489574554,0.03784600621363486,0.06436323232068648,0.044623144247800804,0.01974008807288568,0.008512929636734935,0.031614290740106764,0.024604388626321822,0.02033699649965493,0.0003976930791322468,5.343039570261151e-05,0.00023434191774772262,0.00012355711040652759
16,583003,197015,0.624329,0.186218,0.730713,-0.204041,0.457275,0.268311,0.727966,-0.434753,0.023437,-0.001953,-0.001953,-0.003906,-0.009766,-0.007813,0.07396601390735341,0.046964021410029186,0.06656707946451379,0.049511991238491995,0.017055088226021795,0.02359918191378676,0.01310246392858992,0.020935611195887015,0.022812007720006945,0.00025000717400272126,0.00017375709671061242,0.00024662634876739865,0.00015122898330496474
