sample,timestamp_w,timestamp_b,qw_w,qx_w,qy_w,qz_w,qw_b,qx_b,qy_b,qz_b,gx_w,gy_w,gz_w,gx_b,gy_b,gz_b,angle_w,angle_b,angle_w_s,angle_b_s,angle_diff,angle_w_norm,angle_b_norm,gyro_w,gyro_b,gyro_w_s,gyro_b_s
0,582611,196823,0.624817,0.185303,0.730835,-0.202881,0.456909,0.269653,0.727478,-0.435059,0.033203,-0.011719,0.007813,-0.035156,-0.019531,0.001953,0.17634658070209394,0.14288830431634908,0.1824788238550412,0.10733511555733255,0.07514370829770864,0.0007458607500378527,0.00047481653411476704,0.03606684265360638,0.04026435776216976,0.027752844658772213,0.06581471298834551
1,582621,196833,0.624878,0.185242,0.730774,-0.202881,0.457031,0.26947,0.7276,-0.434875,-0.023437,-0.013672,-0.005859,-0.074219,-0.007813,-0.003906,0.1783717448900684,0.10921570605878728,0.18635640096020334,0.0918842074269101,0.09447219353329324,0.0007674773381173175,0.00038803803236608117,0.02775868213730616,0.07473125026386217,0.023489117100777845,0.06666571695085201
2,582631,196843,0.624939,0.18512,0.730774,-0.20282,0.457153,0.269226,0.727722,-0.434631,-0.017578,-0.005859,-0.005859,-0.080078,-0.019531,-0.001953,0.19271814597296116,0.06990133629686131,0.18608892555184348,0.08171859577094305,0.10437032978090043,0.0007659862250931034,0.00033094387703116887,0.0194330091854041,0.0824485309390046,0.02513818637547698,0.0629088702874962
3,582641,196853,0.624939,0.185059,0.730774,-0.20282,0.457336,0.269043,0.727844,-0.434448,0.009766,-0.003906,-0.001953,-0.066406,-0.015625,-0.011719,0.19798913227568987,0.04553148303564275,0.17958418554533517,0.06310129497901693,0.11648289056631825,0.000729723816513913,0.0002263816431682328,0.010697934426794736,0.06921872883837149,0.027316077702730028,0.060780176223963145
4,582652,196864,0.624939,0.18512,0.730774,-0.202942,0.457458,0.268799,0.727905,-0.434265,0.03125,-0.003906,-0.003906,-0.046875,-0.005859,-0.007813,0.18501902391840389,0.041056149147074825,0.16868908413293146,0.052490392768881754,0.1161986913640497,0.0006689861669640462,0.00016678655735031112,0.03173446347427352,0.047881483634073,0.027343617242632307,0.04762405481461273
5,582672,196875,0.624817,0.185364,0.730713,-0.203247,0.45752,0.268677,0.728027,-0.434204,0.046875,0.001953,0.001953,-0.027344,-0.005859,-0.009766,0.14382288066955257,0.049801800356718495,0.15221545680139054,0.047963710395584225,0.10425174640580631,0.0005771495363715929,0.000141362892221302,0.04695629928987164,0.029620887444504425,0.028726882948478916,0.03534157362673754
6,582683,196885,0.624817,0.185486,0.730652,-0.203369,0.45752,0.268616,0.728027,-0.434143,0.027344,-0.003906,0.003906,-0.003906,0.001953,-0.007813,0.12389623782804983,0.05616119500811138,0.13175229833752425,0.04544417357089257,0.08630812476663169,0.0004630722001068092,0.0001272121621216981,0.027896379836817534,0.008950643217110154,0.02973668681690077,0.028615381534308686
7,582694,196895,0.624817,0.185547,0.730591,-0.203491,0.457458,0.268616,0.728027,-0.434204,0.025391,-0.003906,0.005859,0.015625,0.011719,-0.007813,0.11035000931525653,0.04726792443037365,0.11158425145668849,0.040350714987915474,0.071233536468773,0.0003506400420950529,9.86052543063934e-05,0.026349337714637155,0.021036124999628616,0.03236576029622475,0.02530136571144594
8,582711,196905,0.624817,0.185669,0.73053,-0.203491,0.457397,0.268616,0.728027,-0.434326,0.0,-0.013672,0.007813,0.027344,0.011719,-0.019531,0.09567333995635836,0.03293379891218448,0.09441685771447764,0.03118253423128281,0.06323432348319483,0.00025493582555495824,4.7113071251133514e-05,0.015746953768904004,0.03558776837622724,0.04174486099845278,0.02165489523618838
9,582721,196915,0.624878,0.18573,0.730469,-0.203552,0.457275,0.268677,0.727966,-0.434448,0.039063,-0.015625,0.015625,0.027344,0.009766,-0.011719,0.08417878951422521,0.01558885623218937,0.08483975461386647,0.02465091397279847,0.060188840641068005,0.00020154570922564847,1.0428870216592885e-05,0.04487983087089344,0.03131140451975925,0.058197098992685284,0.02578890451823702
10,582732,196932,0.624878,0.185913,0.730408,-0.203735,0.457275,0.268677,0.727905,-0.43457,0.089844,-0.013672,0.023437,-0.007813,-0.005859,-0.005859,0.057985911958498226,0.003960896573555178,0.09475112805173028,0.022794054124176854,0.07195707392755342,0.00025679930473064105,0.0,0.09385180280101175,0.01138853506821663,0.06361771851443362,0.026894752098278563
11,582752,196953,0.624817,0.186768,0.730042,-0.204285,0.457336,0.268555,0.728027,-0.434448,0.101563,-0.011719,0.041016,-0.029297,0.003906,0.001953,0.07601072232499408,0.023503093715689673,0.10995199602122852,0.02540068970560518,0.08455130631562334,0.00034154059869731036,1.4639911677151378e-05,0.11015756980798005,0.02962068962735338,0.06707445802276543,0.022185213198735294
12,582773,196964,0.624878,0.187439,0.729797,-0.20459,0.457397,0.268433,0.728027,-0.434387,0.037109,-0.015625,0.035156,-0.019531,-0.013672,-0.011719,0.15990687650457544,0.037983625187265564,0.13137807974348084,0.030735638576205936,0.1006424411672749,0.000460986018715769,4.460312587716485e-05,0.05345243532337886,0.02656536289983632,0.0659596521827868,0.020955725149650408
13,582783,196974,0.624939,0.187561,0.729675,-0.204529,0.457397,0.268372,0.728088,-0.434387,0.011719,-0.009766,0.029297,-0.001953,0.001953,-0.011719,0.17167767980384968,0.04596697681932611,0.16148900828867913,0.03751266050422187,0.12397634778445726,0.0006288474232472792,8.266560118716035e-05,0.03303065131056304,0.01204007387851088,0.054893614551953365,0.025000876284028434
14,582793,196985,0.625,0.187744,0.729614,-0.204529,0.457336,0.268372,0.728088,-0.434448,0.019531,-0.013672,0.03125,0.021484,0.011719,-0.005859,0.19130920812548677,0.04226360058519314,0.19047167352546276,0.04220484604308977,0.148266827482373,0.0007904190229543529,0.00010901879852370254,0.03930580167100017,0.025163964274334837,0.03573268483750984,0.021697231144275745
15,582803,197000,0.625061,0.187866,0.729492,-0.204529,0.457275,0.268372,0.727966,-0.434692,0.019531,-0.015625,0.029297,0.029297,-0.001953,-0.011719,0.2085405546844897,0.03784600621363486,0.19919910785560507,0.044623144247800804,0.15457596360780426,0.0008390724340378127,0.0001226009318983201,0.0385216146468447,0.031614290740106764,0.030901637773380196,0.017845649939582382
16,582813,197015,0.625122,0.187988,0.729431,-0.204468,0.457275,0.268311,0.727966,-0.434753,0.003906,-0.009766,0.009766,-0.003906,-0.009766,-0.007813,0.22092404850891223,0.046964021410029186,0.19810332397475422,0.049511991238491995,0.14859133273626224,0.0008329636944475836,0.00015005865888431013,0.014352921235762426,0.01310246392858992,0.03211775580443753,0.02075070774384747
